Date;Open;Low;High;Close;Volume
20180606;1.143328;1.137954;1.144296;1.139484;139789.04965334386
20180607;1.139471;1.131542;1.139601;1.137747;154512.94971626994
20180608;1.137747;1.136493;1.141748;1.139718;136538.2497131303
20180611;1.139666;1.132349;1.13977;1.135641;118840.70961013435
20180612;1.135628;1.132259;1.140303;1.138771;148496.2698346451
20180613;1.138771;1.133119;1.138991;1.134391;137039.3403633237
20180614;1.134353;1.133723;1.146644;1.146513;155702.10057510436
20180615;1.1465;1.142113;1.147092;1.144623;147496.0405233279
20180618;1.145016;1.139108;1.145935;1.139757;117816.62046705185
20180619;1.139731;1.136648;1.142505;1.137061;158262.56047853827
20180620;1.137113;1.136235;1.140433;1.138732;143023.78044659644
20180621;1.138978;1.136493;1.146053;1.141461;174787.76048796618
20180622;1.141422;1.135731;1.142687;1.138213;170846.8103146106
20180625;1.136945;1.133941;1.138887;1.134893;165343.6991468072
20180626;1.134893;1.133478;1.136609;1.136131;170997.29009205106
20180627;1.136093;1.132785;1.136803;1.135344;185689.96001670512
20180628;1.135344;1.12737;1.135615;1.130697;189528.11997921765
20180629;1.130736;1.124796;1.131772;1.130748;196134.66957636926
20180702;1.12942;1.127574;1.132208;1.129433;165798.27987368405
20180703;1.129471;1.128401;1.132618;1.132272;165975.09998651597
20180704;1.132452;1.131196;1.136454;1.135306;144419.370259054
20180705;1.135576;1.128987;1.136389;1.131644;191535.87974384427
20180706;1.131926;1.127714;1.131926;1.131849;155594.0200252235
20180709;1.134829;1.123406;1.134893;1.128503;171193.06009073555
20180710;1.128503;1.126811;1.133813;1.130748;156777.1900222078
20180711;1.1308;1.12849;1.132605;1.131273;184751.61999400702
20180712;1.131299;1.129982;1.13371;1.131862;165552.05986032635
20180713;1.131875;1.127917;1.13317;1.133003;162933.31984989345
20180716;1.132016;1.12951;1.134288;1.130288;150171.75995236635
20180717;1.130301;1.121718;1.131043;1.12491;173360.04993975165
20180718;1.124923;1.11962;1.126913;1.123066;174473.7000529468
20180719;1.123066;1.116757;1.123368;1.11798;189624.98017418387
20180720;1.11808;1.11637;1.121101;1.120737;194168.19986630976
20180723;1.119909;1.119006;1.122259;1.12085;142609.2397480905
